,Std3,Std2,Mean2,Std1,PToP1,PToP4,PToP2,Std4,Kurtosis1,Kurtosis4
0,0.08725775112429784,0.24466487463894768,0.9362244897959183,9.827517128284637,47.0,45.0,1.0,8.794758319144737,-0.3303342905842923,-0.3227139823698262
0,0.0,0.0,1.0,11.645063124430964,41.0,56.0,0.0,11.142561744864269,-0.5028785868197394,-0.3378738050398016
0,0.05050762722761054,0.0,1.0,11.88126066006397,41.0,56.0,0.0,10.734864842658506,-0.4096680837917419,-0.14710537098070287
0,0.0,0.0,1.0,12.07834066504752,40.0,55.0,0.0,10.65419484478271,-0.3930725821287018,-0.13147086242082295
0,0.0,0.0,1.0,12.145629022320174,37.0,54.0,0.0,10.697880205902392,-0.4068583721827239,-0.12219534026143686
0,0.0,0.0,1.0,12.827505116749146,41.0,56.0,0.0,11.028428110006772,-0.35262996807707214,-0.015395125279401345
0,17.3886754971347,5.030580708240574,5.762755102040816,70.96166392505074,401.0,415.0,17.0,70.15132584769788,10.177806548435433,10.456442864487697
0,0.0,0.5179020239329655,1.2678571428571428,14.098776673163272,43.0,49.0,2.0,12.257361381340534,-0.3411333311447984,-0.1922376790330227
0,0.05050762722761054,0.0,1.0,14.60580718688846,44.0,46.0,0.0,12.827916076588565,-0.310506520576705,-0.17632567693043155
0,0.1010152544552211,0.0,1.0,15.309990829430438,47.0,49.0,0.0,13.673841991163679,-0.2583513364876868,-0.15136786057888063
0,0.05050762722761054,0.0,1.0,16.120189497061126,49.0,49.0,0.0,14.539495014884604,-0.20605515895316362,-0.15832113936204983
0,0.0,0.0,1.0,17.19937079090717,50.0,51.0,0.0,15.764004243617377,-0.2349566658853397,-0.1982200110611383
0,0.07133717206748923,0.0,1.0,17.768100984624738,53.0,49.0,0.0,16.627547366852472,-0.2859419180996632,-0.2503250317010921
0,0.05050762722761054,0.0,1.0,17.990345542880252,51.0,52.0,0.0,16.942913387492048,-0.30431102361903495,-0.2912682333519534
0,0.0,0.0,1.0,17.638369035038096,51.0,50.0,0.0,17.02381637969735,-0.28588740480833863,-0.3109741783154467
0,0.05050762722761054,0.0,1.0,17.41752297941207,51.0,48.0,0.0,16.751572099544955,-0.2994490689310312,-0.3084491252026731
0,0.05050762722761054,0.0,1.0,16.588541230045696,49.0,49.0,0.0,16.165553543039874,-0.2958880779736748,-0.2757538539017812
0,0.05050762722761054,0.0,1.0,15.864744340887514,50.0,47.0,0.0,15.137805838828548,-0.3117373947203421,-0.2993519536716489
0,0.0,0.0,1.0,15.391706013938833,48.0,47.0,0.0,14.614118719337778,-0.3430365728710312,-0.32492568113013176
0,0.05050762722761054,0.0,1.0,14.944292575371986,51.0,46.0,0.0,14.001718594417794,-0.3612960946498429,-0.3652288650376838
0,0.07133717206748923,0.0,1.0,14.774943169610589,48.0,46.0,0.0,13.645567689310223,-0.4029785006578841,-0.39659962712214547
0,0.0,0.0,1.0,14.544646452743518,47.0,54.0,0.0,13.475113492931033,-0.4121695243351837,-0.36795554567760647
0,0.05050762722761054,0.0,1.0,14.29295190243381,44.0,59.0,0.0,14.025176029549382,-0.4837401840384836,-0.37209217451804166
0,0.05050762722761054,0.0,1.0,13.985547398672072,41.0,56.0,0.0,14.066838986754767,-0.5051084611490855,-0.42444084257661574
0,0.0,0.0,1.0,13.815377388355781,43.0,60.0,0.0,14.019889795589474,-0.5209633299231844,-0.39964501213995174
0,0.05050762722761054,0.0,1.0,13.52534312212907,46.0,60.0,0.0,13.686134294783932,-0.5402898389637056,-0.43158421817576587
0,0.0,0.0,1.0,12.93524743004623,43.0,55.0,0.0,13.075959392134113,-0.5478440868230723,-0.4600981132196753
0,0.07133717206748923,0.0,1.0,12.540968668355125,45.0,60.0,0.0,12.59073649318359,-0.5095369969843366,-0.4016262869719487
0,0.05050762722761054,0.0,1.0,11.892306204672952,46.0,58.0,0.0,11.927729367166238,-0.5044792354813379,-0.43490911992900605
0,0.0,0.0,1.0,11.110917002787442,45.0,54.0,0.0,10.831517940079662,-0.512965912844606,-0.5133025838297582
0,0.05050762722761054,0.0,1.0,10.518994461468305,46.0,57.0,0.0,10.144568032025635,-0.4774778239733024,-0.3989358705521431
0,0.05050762722761054,0.0,1.0,10.132469839031604,47.0,54.0,0.0,9.357132049627419,-0.4515222600275668,-0.49619079534438315
0,0.05050762722761054,0.0,1.0,9.933910477690928,44.0,55.0,0.0,8.896904383841607,-0.4797568572509645,-0.45276517722048615
