,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Median1,Median2,Median3,Median4,Median5,Median6,Median7,Median8,Median9,Std1,Std2,Std3,Std4,Std5,Std6,Std7,Std8,Std9,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,Mode7,Mode8,Mode9,Kurtosis1,Kurtosis2,Kurtosis3,Kurtosis4,Kurtosis5,Kurtosis6,Kurtosis7,Kurtosis8,Kurtosis9,PToP1,PToP2,PToP3,PToP4,PToP5,PToP6,PToP7,PToP8,PToP9,RMS1,RMS2,RMS3,RMS4,RMS5,RMS6,RMS7,RMS8,RMS9
0,10.739795918367347,1.0,1.9974489795918366,11.658163265306122,16288.301020408164,16784.321428571428,16700.423469387755,17039.70918367347,16381.117346938776,19.0,1.0,2.0,19.0,16562.0,17731.5,16818.0,17238.0,16460.0,16.120189497061126,0.0,0.05050762722761054,14.539495014884604,9721.504698463586,9675.23434472363,9182.287268295631,9377.090423492258,9275.46943498772,20.0,1.0,2.0,21.0,25581.0,20718.0,16111.0,11760.0,7665.0,-0.20605515895316362,-3.0,391.99999999999983,-0.15832113936204983,-1.236234261720114,-1.2324239151068679,-1.167529919429738,-1.168847601150784,-1.1619644481999738,49.0,0.0,1.0,49.0,32546.0,32700.0,32424.0,32688.0,32539.0,0.5050762722761054,0.050507627227610534,0.10101525445522107,0.6060915267313265,1292.035612109505,1046.4170209016352,813.7283822640334,593.9696961966999,387.14096269963477
0,10.25765306122449,1.0,2.0,11.002551020408163,17288.316326530614,16074.622448979591,16036.438775510203,16003.479591836734,15808.561224489797,19.0,1.0,2.0,19.0,18039.5,15884.0,16078.0,15667.0,15153.5,17.19937079090717,0.0,0.0,15.764004243617377,9766.56824796391,9734.26047434577,9308.809458291045,9239.053701479128,9276.718135308998,21.0,1.0,2.0,21.0,31853.0,26990.0,22383.0,18032.0,13937.0,-0.2349566658853397,-3.0,-3.0,-0.1982200110611383,-1.2488781091565555,-1.290590015543224,-1.1431518903428934,-1.1589357377724707,-1.2210232029252628,50.0,0.0,0.0,51.0,32497.0,32681.0,32630.0,32547.0,32011.0,0.6060915267313265,0.050507627227610534,0.10101525445522107,0.6060915267313265,1608.8194500810785,1363.2008588732083,1130.5122202356067,910.7535341682732,703.924800671208
0,9.846938775510203,1.0,1.9948979591836735,10.573979591836734,16590.72193877551,17184.048469387755,17281.048469387755,16380.170918367347,16571.211734693876,19.0,1.0,2.0,19.0,16436.5,17081.5,17510.5,16325.5,16836.5,17.768100984624738,0.0,0.07133717206748923,16.627547366852472,9559.871663989383,9309.920694632996,9387.981276356226,9409.581472485173,9427.826547257944,21.0,1.0,2.0,20.0,5357.0,494.0,28655.0,24304.0,20209.0,-0.2859419180996632,-3.0,193.47944773175539,-0.2503250317010921,-1.1388888752198845,-1.1604043655901273,-1.2427292701026746,-1.135596708863208,-1.1774287077259096,53.0,0.0,1.0,49.0,32482.0,32653.0,32590.0,32715.0,32584.0,0.5555838995037159,0.050507627227610534,0.10101525445522107,0.6060915267313265,270.56935905830966,24.950767850439604,1447.2960582071798,1227.5373721398464,1020.7086386427814
0,9.431122448979592,1.0,1.9974489795918366,10.119897959183673,15719.757653061224,16034.880102040815,17191.145408163266,16847.98214285714,16510.043367346938,19.0,1.0,2.0,19.0,14894.0,16896.0,17377.0,16354.5,17053.0,17.990345542880252,0.0,0.05050762722761054,16.942913387492048,9693.911655867158,9804.388459113548,9756.570096234691,9567.937691302235,9482.8880924306,20.0,1.0,2.0,20.0,7016.0,873.0,27754.0,22123.0,16748.0,-0.30431102361903495,-3.0,391.9999999999998,-0.2912682333519534,-1.3364497602338892,-1.2400797660334455,-1.241887701001035,-1.2778567436163788,-1.2149494567565455,51.0,0.0,1.0,52.0,32535.0,32669.0,32702.0,32545.0,32700.0,0.6060915267313265,0.050507627227610534,0.10101525445522107,0.6060915267313265,354.36151262891553,44.093158569704,1401.788686075103,1117.380237156428,845.9017408080213
0,9.346938775510203,1.0,2.0,9.979591836734693,15873.352040816326,17641.535714285714,16405.63775510204,16763.20918367347,16624.45408163265,19.0,1.0,2.0,19.0,15584.5,18753.0,17033.0,17381.0,17023.5,17.638369035038096,0.0,0.0,17.02381637969735,9513.852465488695,9696.230203661838,9537.686212219676,9782.633717578,9341.498749827395,20.0,1.0,2.0,20.0,23262.0,14559.0,6112.0,30689.0,22754.0,-0.28588740480833863,-3.0,-3.0,-0.3109741783154467,-1.1769406176738288,-1.2464552193662306,-1.2479656442762455,-1.2367298878735724,-1.1266599574267382,51.0,0.0,0.0,50.0,32535.0,32654.0,32756.0,32603.0,32670.0,0.6060915267313265,0.050507627227610534,0.10101525445522107,0.6060915267313265,1174.9084245686763,735.3405448067818,308.7026176151556,1550.02857198814,1149.2505499370502
0,9.645408163265307,1.0,1.9974489795918366,10.061224489795919,17166.176020408162,17034.604591836734,16991.849489795917,15700.441326530612,15835.31887755102,19.0,1.0,2.0,19.0,18244.5,16686.0,16709.0,14703.5,15927.5,17.41752297941207,0.0,0.05050762722761054,16.751572099544955,9570.098688763434,9237.298885498401,9449.540889823147,9366.891660670464,9526.869526491028,20.0,1.0,2.0,20.0,21347.0,13924.0,6757.0,32614.0,25959.0,-0.2994490689310312,-3.0,391.9999999999998,-0.3084491252026731,-1.1730701128557022,-1.1293628264547093,-1.1752257897220937,-1.1325039367043412,-1.1882306436421375,51.0,0.0,1.0,48.0,32589.0,32689.0,32742.0,32662.0,32501.0,0.656599153958937,0.050507627227610534,0.10101525445522107,0.6060915267313265,1078.1863184278022,703.268201517249,341.2800371769644,1647.25575440129,1311.127495201542
0,9.543367346938776,1.0,1.9974489795918366,10.122448979591837,16486.98724489796,16103.334183673469,15892.089285714286,16354.80357142857,15736.048469387755,18.0,1.0,2.0,18.0,16638.0,15808.0,14988.0,16366.5,15327.5,16.588541230045696,0.0,0.05050762722761054,16.165553543039874,9562.745003522496,9396.203729153025,9417.042022302341,9479.786485756791,9290.255075121246,19.0,1.0,2.0,20.0,3038.0,27103.0,18656.0,10465.0,2530.0,-0.2958880779736748,-3.0,391.9999999999998,-0.2757538539017812,-1.1988421943649048,-1.1613882172768606,-1.1281988789686093,-1.2483429480386894,-1.1890746760481055,49.0,0.0,1.0,49.0,32521.0,32737.0,32600.0,32591.0,32488.0,0.6060915267313265,0.050507627227610534,0.10101525445522107,0.656599153958937,153.4421715174808,1368.9082207499284,942.2702935583022,528.5623189369443,127.78429688585466
0,9.635204081632653,1.0,1.9974489795918366,10.331632653061224,15928.829081632653,17186.97193877551,17280.053571428572,17211.176020408162,16645.97193877551,17.0,1.0,2.0,18.0,15610.0,17862.5,17899.0,17851.0,17119.0,15.864744340887514,0.0,0.05050762722761054,15.137805838828548,9628.97807857718,9873.318916728844,9579.370268785071,9445.785793430983,9156.34665062561,17.0,1.0,2.0,18.0,14962.0,11379.0,8052.0,4981.0,2166.0,-0.3117373947203421,-3.0,391.99999999999983,-0.2993519536716489,-1.2032252798125562,-1.2907774939746544,-1.2008351609832955,-1.1654138302659647,-1.1352819206003109,50.0,0.0,1.0,47.0,32667.0,32698.0,32680.0,32606.0,32463.0,0.6060915267313265,0.050507627227610534,0.10101525445522107,0.6060915267313265,755.6951185795089,574.7262902229803,406.6874144367201,251.5784912207281,109.39952057500442
0,9.576530612244898,1.0,2.0,10.385204081632653,16182.910714285714,16281.216836734693,16551.93112244898,17496.604591836734,16440.298469387755,17.0,1.0,2.0,17.0,15530.0,16880.0,16860.0,18225.0,16716.0,15.391706013938833,0.0,0.0,14.614118719337778,9539.349938694839,9553.1925956048,9764.152102154909,9469.231673975793,9063.006517190475,18.0,1.0,2.0,17.0,14026.0,203.0,19404.0,6093.0,25806.0,-0.3430365728710312,-3.0,-3.0,-0.32492568113013176,-1.241619896665999,-1.2929260533127425,-1.1987299241464826,-1.2089961031801915,-1.1857952512073755,48.0,0.0,0.0,47.0,32597.0,32561.0,32668.0,32725.0,32619.0,0.6060915267313265,0.050507627227610534,0.10101525445522107,0.656599153958937,708.4199794944653,10.253048327204938,980.0499987245548,307.742972697831,1303.3998282357175
0,9.443877551020408,1.0,1.9974489795918366,10.346938775510203,17123.44387755102,17337.341836734693,16971.321428571428,16192.566326530612,16422.13775510204,16.0,1.0,2.0,17.0,17445.0,17552.5,17441.5,15836.5,16286.0,14.944292575371986,0.0,0.05050762722761054,14.001718594417794,9661.563478337606,9043.694443206357,9444.486838397572,9378.325011218683,9548.151131345314,17.0,1.0,2.0,17.0,20298.0,6475.0,25676.0,12365.0,32078.0,-0.3612960946498429,-3.0,391.9999999999998,-0.3652288650376838,-1.1892349808046334,-1.0940022858852387,-1.166947257373228,-1.2202411318346282,-1.2636089216077384,51.0,0.0,1.0,46.0,32631.0,32590.0,32497.0,32597.0,32452.0,0.656599153958937,0.050507627227610534,0.10101525445522107,0.656599153958937,1025.2038174660386,327.03688629877826,1296.8338366961282,624.5268106694043,1620.1836662072908
