,Std3,Std2,Mean2,Std1,PToP1,PToP4,PToP2,Std4,Kurtosis1,Kurtosis4
0,0.08736868677440364,0.24495700578722293,0.9360613810741688,9.796969690792308,-1.0,20.0,1.0,8.737972725709117,-0.3052548862923139,-0.3267866758414919
0,0.0,0.22058768880951832,0.948849104859335,9.850612811336635,-1.0,17.0,1.0,8.81414619010421,-0.33018501262646627,-0.30827673836821967
0,0.0,0.19231752876673086,0.9616368286445013,9.861100398481021,-1.0,17.0,1.0,8.82615153291768,-0.33639568165290124,-0.3187364408903397
0,0.0,0.15806721650644084,0.9744245524296675,9.877262381430217,-1.0,17.0,1.0,8.857487543281234,-0.34342452540676405,-0.33530875044905306
0,0.0,0.1125014117412751,0.9872122762148338,9.881202018050702,-1.0,17.0,1.0,8.866097549084673,-0.3511002128263434,-0.34204504498860633
0,0.0,0.0,1.0,9.902048307926215,-1.0,17.0,2.0,8.892401157585763,-0.3594349001301578,-0.35328352018403475
0,0.0,0.0,1.0,9.905549098583853,-1.0,17.0,2.0,8.907014494600869,-0.36361182703358663,-0.3618358941798836
0,0.0,0.0,1.0,9.920374840343294,-1.0,17.0,2.0,8.917993344110124,-0.3694507388573731,-0.37094784367504463
0,0.0,0.0,1.0,9.914433578368492,-1.0,17.0,2.0,8.949259111155474,-0.3744335815894573,-0.38122075539377986
0,0.0,0.0,1.0,9.935398255776429,-1.0,17.0,2.0,8.966057635361501,-0.38157956205607046,-0.39170800549188245
0,0.0,0.0,1.0,9.936094578545513,-1.0,17.0,2.0,8.977461742186108,-0.38428262544725067,-0.39865988508176287
0,0.0,0.0,1.0,9.948484264941147,-1.0,17.0,2.0,8.99884720941703,-0.3873610505162426,-0.4106681252034887
0,0.0,0.0,1.0,9.956373457131038,-1.0,17.0,2.0,9.000600383643873,-0.39366599913736744,-0.4158634530603216
0,0.0,0.0,1.0,9.970136403756081,-1.0,17.0,2.0,9.018226092886406,-0.3988077671915553,-0.4229661216520464
0,0.0,0.0,1.0,9.976603228281443,-1.0,17.0,2.0,9.040643141304729,-0.4004871583623557,-0.43235434343009116
0,0.0,0.0,1.0,9.993526004572452,-1.0,17.0,2.0,9.045456137722315,-0.40472647761208425,-0.43712998937098435
0,0.0,0.0,1.0,9.993198552646227,-1.0,17.0,2.0,9.06203364594555,-0.4094697459787109,-0.44446997861039517
0,0.0,0.0,1.0,10.00940209848743,-1.0,17.0,2.0,9.073119085174962,-0.4138646880218264,-0.4518506089218053
0,0.0,0.0,1.0,10.007477039437324,-1.0,17.0,2.0,9.073870738139833,-0.4148897982830868,-0.4556653805909501
0,0.0,0.0,1.0,10.023272153081122,-1.0,17.0,2.0,9.09890063614348,-0.41822052970094914,-0.46511526986096907
0,0.0,0.0,1.0,10.02073134681452,-1.0,17.0,2.0,9.093932762528153,-0.4207414385042054,-0.46905426298974984
0,0.0,0.0,1.0,10.041538751199216,-1.0,17.0,2.0,9.097670995847878,-0.4245153412447724,-0.46832799063693953
0,0.0,0.0,1.0,10.068526436618823,-1.0,17.0,2.0,9.112397016996692,-0.4292992523884891,-0.4735640333727673
0,0.0,0.0,1.0,10.101996719810597,-1.0,17.0,2.0,9.133891591482662,-0.43597166397375187,-0.4805601069697496
0,0.0,0.0,1.0,10.12893403128574,-1.0,17.0,2.0,9.139985074878114,-0.4413358847152651,-0.4836196696336077
0,0.0,0.0,1.0,10.158071284636291,-1.0,17.0,2.0,9.15635921243533,-0.4461213218638709,-0.4891590119774305
0,0.0,0.0,1.0,10.197338083077804,-1.0,17.0,2.0,9.175278923685717,-0.45428207774870266,-0.49548425435059773
0,0.0,0.0,1.0,10.21736931474131,-1.0,17.0,2.0,9.179654145598414,-0.4529740099565469,-0.4966071298511632
0,0.0,0.0,1.0,10.251891472912622,-1.0,17.0,2.0,9.199283032677023,-0.45427738694991593,-0.5017442686108851
