,Mean2,Std1,Mean1,Std2,Median1,Std3,Kurtosis1,Kurtosis4
0,0.9362244897959184,9.827517128284637,7.153061224489796,0.2446648746389476,10.0,0.0872577511242978,-0.3303342905842923,-0.3227139823698262
1,1.0,11.645063124430964,8.561224489795919,0.0,14.0,0.0,-0.5028785868197394,-0.3378738050398016
2,1.0,11.88126066006397,9.706632653061224,0.0,15.0,0.0505076272276105,-0.4096680837917419,-0.1471053709807028
3,1.0,12.07834066504752,10.42091836734694,0.0,16.0,0.0,-0.3930725821287018,-0.1314708624208229
4,1.0,12.145629022320174,10.553571428571429,0.0,16.0,0.0,-0.4068583721827239,-0.1221953402614368
5,1.0,12.827505116749146,11.08673469387755,0.0,17.0,0.0,-0.3526299680770721,-0.0153951252794013
6,5.762755102040816,70.96166392505074,30.4515306122449,5.030580708240574,18.0,17.3886754971347,10.177806548435433,10.456442864487697
7,1.2678571428571428,14.098776673163272,11.334183673469388,0.5179020239329655,19.0,0.0,-0.3411333311447984,-0.1922376790330227
8,1.0,14.60580718688846,11.196428571428571,0.0,19.0,0.0505076272276105,-0.310506520576705,-0.1763256769304315
9,1.0,15.309990829430438,10.943877551020408,0.0,19.0,0.1010152544552211,-0.2583513364876868,-0.1513678605788806
10,1.0,16.120189497061126,10.739795918367347,0.0,19.0,0.0505076272276105,-0.2060551589531636,-0.1583211393620498
11,1.0,17.19937079090717,10.25765306122449,0.0,19.0,0.0,-0.2349566658853397,-0.1982200110611383
12,1.0,17.768100984624738,9.846938775510203,0.0,19.0,0.0713371720674892,-0.2859419180996632,-0.2503250317010921
13,1.0,17.990345542880252,9.431122448979592,0.0,19.0,0.0505076272276105,-0.3043110236190349,-0.2912682333519534
14,1.0,17.638369035038096,9.346938775510203,0.0,19.0,0.0,-0.2858874048083386,-0.3109741783154467
15,1.0,17.41752297941207,9.645408163265309,0.0,19.0,0.0505076272276105,-0.2994490689310312,-0.3084491252026731
16,1.0,16.588541230045696,9.543367346938776,0.0,18.0,0.0505076272276105,-0.2958880779736748,-0.2757538539017812
17,1.0,15.864744340887514,9.635204081632653,0.0,17.0,0.0505076272276105,-0.3117373947203421,-0.2993519536716489
18,1.0,15.391706013938832,9.576530612244898,0.0,17.0,0.0,-0.3430365728710312,-0.3249256811301317
19,1.0,14.944292575371986,9.443877551020408,0.0,16.0,0.0505076272276105,-0.3612960946498429,-0.3652288650376838
20,1.0,14.774943169610587,9.331632653061224,0.0,16.0,0.0713371720674892,-0.4029785006578841,-0.3965996271221454
21,1.0,14.544646452743518,8.816326530612244,0.0,15.0,0.0,-0.4121695243351837,-0.3679555456776064
22,1.0,14.29295190243381,7.772959183673469,0.0,13.0,0.0505076272276105,-0.4837401840384836,-0.3720921745180416
23,1.0,13.985547398672072,7.426020408163265,0.0,12.0,0.0505076272276105,-0.5051084611490855,-0.4244408425766157
24,1.0,13.81537738835578,7.298469387755102,0.0,11.0,0.0,-0.5209633299231844,-0.3996450121399517
25,1.0,13.52534312212907,7.170918367346939,0.0,10.0,0.0505076272276105,-0.5402898389637056,-0.4315842181757658
26,1.0,12.93524743004623,7.130102040816326,0.0,10.0,0.0,-0.5478440868230723,-0.4600981132196753
27,1.0,12.540968668355124,7.160714285714286,0.0,10.0,0.0713371720674892,-0.5095369969843366,-0.4016262869719487
28,1.0,11.892306204672952,7.262755102040816,0.0,10.0,0.0505076272276105,-0.5044792354813379,-0.434909119929006
29,1.0,11.110917002787442,7.397959183673469,0.0,9.0,0.0,-0.512965912844606,-0.5133025838297582
30,1.0,10.518994461468305,7.573979591836735,0.0,10.0,0.0505076272276105,-0.4774778239733024,-0.3989358705521431
